district,pred_baseline,rec1_lever,rec1_delta,rec2_lever,rec2_delta,rec3_lever,rec3_delta
성동구,25.68729042658728,libraries_count,-1.5709629464285655,cultural_satisfaction,-0.2850538690476192,parks_count,-0.08620684523808109
강북구,27.899770932539678,libraries_count,-1.5684072916666558,elderly_leisure_welfare_facilities_count,-0.14928005952381795,medical_institutions_count,-0.03195639880952683
도봉구,26.139179166666672,libraries_count,-1.276924255952391,elderly_leisure_welfare_facilities_count,-0.33520357142857193,parks_count,-0.026770833333319644
광진구,25.781634523809547,elderly_leisure_welfare_facilities_count,-0.5789065476190522,cultural_satisfaction,-0.24810773809523923,in_home_elderly_welfare_facilities_count,-0.15838958333333153
중랑구,27.414604017857165,elderly_leisure_welfare_facilities_count,-0.5697026785714314,libraries_count,-0.2714160714285896,parks_count,-0.10197410714285127
종로구,26.868634920634918,cultural_satisfaction,-0.48753526785710477,parks_count,-0.11573601190476523,medical_institutions_count,-0.02848764880952359
관악구,27.057566021825405,elderly_leisure_welfare_facilities_count,-0.45682038690475935,libraries_count,-0.408769642857159,cultural_satisfaction,-0.3688583333333284
마포구,23.521241517857167,libraries_count,-0.35442544642857854,in_home_elderly_welfare_facilities_count,-0.2586229166666776,medical_institutions_count,-0.1998446428571583
강남구,22.011140724206353,parks_count,-0.284625000000009,cultural_satisfaction,-0.1388848214285936,in_home_elderly_welfare_facilities_count,-0.09019791666667132
중구,26.28518685515879,cultural_satisfaction,-0.26537276785715136,medical_institutions_count,-0.09365312500000655,parks_count,-0.03849672619046984
구로구,24.492996130952324,cultural_satisfaction,-0.23890669642857176,libraries_count,-0.07283854166666615,medical_institutions_count,-0.021508184523810314
강동구,24.024597321428573,elderly_leisure_welfare_facilities_count,-0.21748988095238886,libraries_count,-0.16285486111112135,cultural_satisfaction,-0.08183035714286646
송파구,21.424100049603172,libraries_count,-0.20144811507935856,parks_count,0.0,medical_institutions_count,0.0
노원구,24.6585811011905,libraries_count,-0.18874702380952968,medical_institutions_count,-0.020718750000003894,welfare_budget_per_capita,0.0
성북구,23.314235962301588,cultural_satisfaction,-0.17244702380956412,public_sports_facilities_count,-0.006437499999996987,libraries_count,-0.004428571428572781
강서구,22.8945740079365,parks_count,-0.15821607142857275,libraries_count,-0.10251145833333197,in_home_elderly_welfare_facilities_count,-0.038610416666667646
동작구,22.9599629960317,libraries_count,-0.15249270833333384,parks_count,-0.03183750000000174,in_home_elderly_welfare_facilities_count,0.0
서대문구,22.969746974206306,libraries_count,-0.151434375000008,public_sports_facilities_count,0.004377976190475863,elderly_leisure_welfare_facilities_count,0.007722023809517253
양천구,23.19366547619045,libraries_count,-0.13421319444444535,cultural_satisfaction,-0.04620357142857401,health_promotion_centers_count,-0.002272321428563373
동대문구,23.608721130952386,libraries_count,-0.0853968750000007,cultural_satisfaction,-0.07853541666667496,elderly_leisure_welfare_facilities_count,-0.019574999999999676
용산구,23.274855605158763,libraries_count,-0.060354067460316685,parks_count,-0.059246428571427145,elderly_leisure_welfare_facilities_count,-0.04369017857142765
서초구,19.571232192460375,in_home_elderly_welfare_facilities_count,-0.056279166666669767,health_promotion_centers_count,-0.006770833333334281,welfare_budget_per_capita,0.0
금천구,28.679488938492046,cultural_satisfaction,-0.05582738095237261,in_home_elderly_welfare_facilities_count,-0.02406249999999943,welfare_budget_per_capita,-0.011250000000000426
은평구,24.695265922619072,cultural_satisfaction,-0.054088690476181256,in_home_elderly_welfare_facilities_count,-0.023004166666673598,libraries_count,-0.022455654761891708
영등포구,19.850780952381,medical_institutions_count,-0.0015000000000000568,cultural_satisfaction,0.0,public_sports_facilities_count,0.0
