district,Supply_Index,rank
노원구,68.38085384726149,1
강남구,52.65177173996177,2
강서구,47.752933760932805,3
송파구,44.06627550268345,4
중랑구,42.0200130157682,5
은평구,41.509693868769006,6
양천구,41.1733904043336,7
구로구,40.17187326083014,8
성북구,38.01566846740121,9
도봉구,35.546210000967946,10
강동구,34.0717719068018,11
서초구,32.973869802220385,12
관악구,32.32051814820634,13
영등포구,32.21708273594256,14
강북구,30.717186420189613,15
동작구,30.524401504977515,16
동대문구,29.56945574080764,17
서대문구,29.51758273779359,18
마포구,28.798263783297397,19
중구,28.61685708344662,20
성동구,26.708054328080117,21
종로구,25.52590674910671,22
금천구,22.592706231555603,23
광진구,20.692502414954767,24
용산구,19.868887809128154,25
