district,best_policy
강남구,health_promotion_centers_count +1
강동구,health_promotion_centers_count +1
강북구,health_promotion_centers_count +1
강서구,health_promotion_centers_count +1
관악구,health_promotion_centers_count +1
광진구,health_promotion_centers_count +1
구로구,health_promotion_centers_count +1
금천구,health_promotion_centers_count +1
노원구,medical_institutions_count +10%
도봉구,health_promotion_centers_count +1
동대문구,health_promotion_centers_count +1
동작구,health_promotion_centers_count +1
마포구,health_promotion_centers_count +1
서대문구,health_promotion_centers_count +1
서초구,health_promotion_centers_count +1
성동구,health_promotion_centers_count +1
성북구,health_promotion_centers_count +1
송파구,health_promotion_centers_count +1
양천구,health_promotion_centers_count +1
영등포구,health_promotion_centers_count +1
용산구,health_promotion_centers_count +1
은평구,health_promotion_centers_count +1
종로구,health_promotion_centers_count +1
중구,health_promotion_centers_count +1
중랑구,health_promotion_centers_count +1
