district,best_policy,best_gap_delta,supply_before,best_supply_after,gap_before,best_gap_after
강남구,health_promotion_centers_count +1,1.5873015873015959,62.05460257660455,63.64190416390615,-23.940579729518376,-25.527881316819972
강동구,health_promotion_centers_count +1,1.5873015873015817,34.70467933623486,36.29198092353644,11.761867388760557,10.174565801458975
강북구,health_promotion_centers_count +1,1.5873015873015888,31.592485374275686,33.17978696157727,39.67000063702611,38.08269904972452
강서구,health_promotion_centers_count +1,1.5873015873015888,52.2533085419595,53.84061012926109,3.282799780234093,1.6954981929325044
관악구,health_promotion_centers_count +1,1.5873015873015817,36.382131389784334,37.969432977085916,29.186290306150397,27.598988718848815
광진구,health_promotion_centers_count +1,1.5873015873015888,23.579694423333212,25.1669960106348,31.347035453348266,29.759733866046677
구로구,health_promotion_centers_count +1,1.5873015873015959,45.20350827170819,46.790809859009784,4.5979329509283176,3.0106313636267217
금천구,health_promotion_centers_count +1,1.5873015873015888,20.34950468607255,21.936806273374135,34.02411907855812,32.436817491256534
노원구,medical_institutions_count +10%,0.3174007340674052,66.93935888849595,67.25675962256335,-1.1804425459799859,-1.497843280047391
도봉구,health_promotion_centers_count +1,1.5873015873015888,37.243119629871735,38.830421217173324,22.937372477005248,21.35007088970366
동대문구,health_promotion_centers_count +1,1.5873015873015888,31.718312078736787,33.305613666038376,-0.519498581949378,-2.106800169250967
동작구,health_promotion_centers_count +1,1.5873015873015888,35.11423497367353,36.70153656097512,14.672077375700304,13.084775788398716
마포구,health_promotion_centers_count +1,1.5873015873015888,37.029831695065866,38.617133282367455,-1.9478185242547923,-3.535120111556381
서대문구,health_promotion_centers_count +1,1.5873015873015888,36.96226431259595,38.54956589989754,15.463330436353985,13.876028849052396
서초구,health_promotion_centers_count +1,1.5873015873015959,50.889848727589424,52.47715031489101,-34.55128167164027,-36.138583258941864
성동구,health_promotion_centers_count +1,1.5873015873015888,29.707849040747323,31.295150628048912,9.498425136507809,7.91112354920622
성북구,health_promotion_centers_count +1,1.5873015873015959,45.73904685497631,47.326348442277904,4.030870606855743,2.443569019554147
송파구,health_promotion_centers_count +1,1.5873015873015817,48.90661329112853,50.49391487843011,0.16185210999524458,-1.425449477306337
양천구,health_promotion_centers_count +1,1.5873015873015888,44.3601560171129,45.94745760441449,-6.8547261767620284,-8.442027764063617
영등포구,health_promotion_centers_count +1,1.5873015873015888,33.114315515774095,34.701617103075684,-2.826304142589244,-4.413605729890833
용산구,health_promotion_centers_count +1,1.5873015873015888,22.5032633041716,24.09056489147319,8.24644250039276,6.659140913091171
은평구,health_promotion_centers_count +1,1.5873015873015888,40.570071542657715,42.1573731299593,6.042738377219848,4.455436789918259
종로구,health_promotion_centers_count +1,1.5873015873015888,34.26225698329131,35.8495585705929,15.310131396600468,13.72282980929888
중구,health_promotion_centers_count +1,1.5873015873015817,33.874382588790084,35.461684176091666,-6.2765624993063796,-7.863864086607961
중랑구,health_promotion_centers_count +1,1.5873015873015888,40.23835413063705,41.82565571793864,17.689962958910648,16.10266137160906
