district,welfare_budget_per_capita,public_sports_facilities_count,parks_count,libraries_count,medical_institutions_count,health_promotion_centers_count,elderly_leisure_welfare_facilities_count,in_home_elderly_welfare_facilities_count,cultural_satisfaction
종로구,1362.9,41,108,43,477,2,77,32,5.91
중구,1757.4,37,73,37,599,1,55,35,6.15
용산구,1216.6,41,108,20,324,2,111,23,5.33
성동구,1198.5,115,105,10,481,1,183,44,5.87
광진구,1060.4,115,68,14,588,1,107,65,5.8
동대문구,1250.9,62,90,19,624,0,156,109,5.92
중랑구,1487.1,137,109,8,567,1,152,192,5.5
성북구,1224.4,161,126,26,560,1,197,119,6.08
강북구,1651.8,148,84,11,477,0,123,108,5.34
도봉구,1411.6,103,81,10,381,0,151,147,6.54
노원구,1500.7,234,186,21,761,7,277,153,5.19
은평구,1394.4,58,136,13,709,1,190,146,5.76
서대문구,1248.7,142,122,18,446,1,132,81,6.18
마포구,1094,135,145,15,788,0,176,65,6.22
양천구,1112.9,162,121,12,679,1,196,173,6.16
강서구,1337.9,175,173,19,953,1,257,139,5.54
구로구,1274.3,167,114,19,610,1,230,109,6.15
금천구,1530.6,87,55,6,366,1,86,57,5.48
영등포구,1166.7,115,108,23,830,1,205,106,4.78
동작구,1140.7,128,87,19,605,1,164,87,6.2
관악구,1160.9,160,132,9,721,1,134,122,5.8
서초구,875.9,195,178,44,1495,0,157,73,6.26
강남구,912.3,298,167,33,2988,2,205,70,6.08
송파구,965,163,174,20,1263,2,201,147,5.68
강동구,1178.3,68,131,12,897,1,153,116,5.79
