"동별(1)",2025 3/4,2025 3/4,2025 3/4
"동별(1)",유년부양비,노년부양비,노령화지수
"서울시",12.1,27.6,228.3
"종로구",9.4,28.3,302.4
"중구",9.1,29.5,323.5
"용산구",11.3,25.6,226.8
"성동구",11.8,25.8,218.8
"광진구",9.6,23.7,246.6
"동대문구",10.8,27.3,251.7
"중랑구",10.7,32.5,304.8
"성북구",12.2,27.8,228.0
"강북구",9.4,37.9,403.7
"도봉구",10.9,37.9,349.1
"노원구",12.8,30.3,237.3
"은평구",11.4,31.4,275.6
"서대문구",11.5,27.1,234.8
"마포구",11.3,22.2,196.4
"양천구",15.4,27.9,181.4
"강서구",11.8,28.0,236.8
"구로구",12.1,30.4,251.2
"금천구",8.8,29.0,328.9
"영등포구",11.2,25.1,223.3
"동작구",10.6,26.9,253.7
"관악구",6.6,24.2,364.4
"서초구",16.8,24.1,143.8
"강남구",16.1,23.4,145.7
"송파구",14.9,25.4,170.8
"강동구",15.6,27.5,175.7
