"자치구별(1)",자치구별(2),2024,2024,2024,2024
"자치구별(1)",자치구별(2),합계,체육관,체육관,체육관
"자치구별(1)",자치구별(2),소계,구기체육관,투기체육관,생활체육관
"자치구별(1)",자치구별(2),개소 (개소),개소 (개소),개소 (개소),개소 (개소)
"합계",종로구,41,-,-,4
"합계",중구,37,3,-,5
"합계",용산구,41,1,-,6
"합계",성동구,115,2,-,7
"합계",광진구,115,1,-,5
"합계",동대문구,62,1,-,4
"합계",중랑구,137,2,-,4
"합계",성북구,161,1,-,8
"합계",강북구,148,1,-,4
"합계",도봉구,103,2,-,3
"합계",노원구,234,4,-,4
"합계",은평구,58,2,-,2
"합계",서대문구,142,4,-,3
"합계",마포구,135,-,-,7
"합계",양천구,162,2,-,5
"합계",강서구,175,7,-,2
"합계",구로구,167,1,-,6
"합계",금천구,87,2,-,5
"합계",영등포구,115,1,-,4
"합계",동작구,128,-,-,5
"합계",관악구,160,5,-,4
"합계",서초구,195,-,-,4
"합계",강남구,298,1,-,7
"합계",송파구,163,5,1,2
"합계",강동구,68,3,-,4
"합계",기타(서울외),3,-,-,-
