"시군구별(1)",시군구별(2),2022,2023,2024
"서울특별시",소계,3.8,4.4,4.4
"서울특별시",강남구,2.7,3.3,3.0
"서울특별시",강동구,4.4,4.0,3.4
"서울특별시",강북구,3.1,4.9,4.2
"서울특별시",강서구,3.5,3.3,4.4
"서울특별시",관악구,3.3,4.5,6.0
"서울특별시",광진구,4.7,4.1,5.7
"서울특별시",구로구,5.4,4.5,2.6
"서울특별시",금천구,5.7,5.9,6.4
"서울특별시",노원구,2.8,8.1,3.7
"서울특별시",도봉구,4.5,4.6,5.8
"서울특별시",동대문구,0.4,1.5,1.1
"서울특별시",동작구,2.4,5.7,5.6
"서울특별시",마포구,3.1,2.2,6.5
"서울특별시",서대문구,8.9,11.7,9.4
"서울특별시",서초구,3.0,2.2,2.5
"서울특별시",성동구,2.9,2.8,3.1
"서울특별시",성북구,2.8,5.5,4.2
"서울특별시",송파구,5.2,4.4,4.6
"서울특별시",양천구,4.5,1.8,4.7
"서울특별시",영등포구,3.6,3.7,3.8
"서울특별시",용산구,1.9,3.9,1.5
"서울특별시",은평구,4.7,4.0,7.0
"서울특별시",종로구,8.6,4.8,6.2
"서울특별시",중구,3.6,2.3,2.5
"서울특별시",중랑구,1.5,5.7,3.8
